field name	english description	russian description	measure	okei_code	format
federal_district	Federal'nyj okrug	Федеральный округ			string
federal_district_short	Sokrashchennoe naimenovanie Federal'nogo okruga	Сокращенное наименование Федерального округа			string
region_code	"Kod sub""ekta RF"	Код субъекта РФ			string
region_name	"Sub""ekt RF"	Субъект РФ			string
okato	OKATO	ОКАТО			string
id	Identifikacionnyj nomer obrazovatel'noj organizacii	Идентификационный номер образовательной организации			int
name	Polnoe naimenovanie obrazovatel'noj organizacii	Полное наименование образовательной организации			string
name_short	Korotkoe naimenovanie obrazovatel'noj organizacii	Короткое наименование образовательной организации			string
year	God	Год			int
e1	Otnoshenie summy srednih ballov EGE studentov, prinyatyh na obuchenie po ochnoj forme obucheniya po rezul'tatam EGE ili po rezul'tatam EGE i dopolnitel'nyh ispytanij za isklyucheniem lic, prinyatyh po rezul'tatam celevogo priema, po vsem napravleniyam i special'nostyam programm bakalavriata i specialiteta, umnozhennyh na chislennost' takih studentov, obuchayushchihsya po sootvetstvuyushchim napravleniyam i special'nostyam programm bakalavriata i specialiteta, k summarnoj chislennosti takih studentov. Rezul'taty studentov, imeyushchih pravo na priem bez vstupitel'nyh ispytanij, priznayutsya kak naivysshie rezul'taty EGE (100 ballov) po sootvetstvuyushchim obshcheobrazovatel'nym predmetam	Отношение суммы средних баллов ЕГЭ студентов, принятых на обучение по очной форме обучения по результатам ЕГЭ или по результатам ЕГЭ и дополнительных испытаний за исключением лиц, принятых по результатам целевого приема, по всем направлениям и специальностям программ бакалавриата и специалитета, умноженных на численность таких студентов, обучающихся по соответствующим направлениям и специальностям программ бакалавриата и специалитета, к суммарной численности таких студентов. Результаты студентов, имеющих право на прием без вступительных испытаний, признаются как наивысшие результаты ЕГЭ (100 баллов) по соответствующим общеобразовательным предметам			numeric
e2	"Otnoshenie obshchego ob""ema sredstv, postupivshih za otchetnyj god ot vypolneniya NIOKR k chislennosti NPR. CHislennost' NPR (kak obshchaya chislennost', tak i chislennost' vsekh vozmozhnyh podmnozhestv) zdes' i dalee rasschityvaetsya kak privedennaya k chislu stavok chislennost' rabotnikov professorsko-prepodavatel'skogo sostava i nauchnyh rabotnikov na 01 oktyabrya otchetnogo goda, vklyuchaya rabotayushchih na usloviyah shtatnogo sovmestitel'stva (vneshnih sovmestitelej), bez rabotayushchih po dogovoram grazhdansko-pravovogo haraktera"	Отношение общего объема средств, поступивших за отчетный год от выполнения НИОКР к численности НПР. Численность НПР (как общая численность, так и численность всех возможных подмножеств) здесь и далее рассчитывается как приведенная к числу ставок численность работников профессорско-преподавательского состава и научных работников на 01 октября отчетного года, включая работающих на условиях штатного совместительства (внешних совместителей), без работающих по договорам гражданско-правового характера 			numeric
e3	Otnoshenie privedennogo kontingenta studentov – grazhdan inostrannyh gosudarstv, k privedennomu kontingentu studentov (krome studentov, obuchayushchihsya na special'nostyah, na kotorye ne predusmotren priem inostrannyh grazhdan), vyrazhennoe v procentah	Отношение приведенного контингента студентов – граждан иностранных государств, к приведенному контингенту студентов (кроме студентов, обучающихся на специальностях, на которые не предусмотрен прием иностранных граждан), выраженное в процентах	процент		numeric
e4	"Otnoshenie ob""ema sredstv organizacii, postupivshih za otchetnyj god iz byudzhetnyh i vnebyudzhetnyh istochnikov, bez ucheta sobstvennyh sredstv, k chislennosti NPR"	Отношение объема средств организации, поступивших за отчетный год из бюджетных и внебюджетных источников, без учета собственных средств, к численности НПР			numeric
e5	"Otnoshenie fonda nachislennoj zarabotnoj platy rabotnikov professorsko-prepodavatel'skogo sostava, bez ucheta rabotayushchih na usloviyah shtatnogo sovmestitel'stva (vneshnih sovmestitelej) i po dogovoram grazhdansko-pravovogo haraktera, k srednespisochnoj chislennosti takih rabotnikov, delennoe na 12 i delennoe na sootvetstvuyushchuyu srednemesyachnuyu nachislennuyu zarabotnuyu platu naemnyh rabotnikov v organizaciyah, u individual'nyh predprinimatelej i fizicheskih lic (srednemesyachnyj dohod ot trudovoj deyatel'nosti) v sub""ekte Rossijskoj Federacii, vyrazhennoe v procentah"	Отношение фонда начисленной заработной платы работников профессорско-преподавательского состава, без учета работающих на условиях штатного совместительства (внешних совместителей) и по договорам гражданско-правового характера, к среднесписочной численности таких работников, деленное на 12 и деленное на соответствующую среднемесячную начисленную заработную плату наемных работников в организациях, у индивидуальных предпринимателей и физических лиц (среднемесячный доход от трудовой деятельности) в субъекте Российской Федерации, выраженное в процентах	процент		numeric
e6	Otnoshenie chislennosti trudoustroivshihsya v techenie kalendarnogo goda, sleduyushchego za godom vypuska, vypusknikov obrazovatel'noj organizacii vysshego obrazovaniya, k obshchej chislennosti vypusknikov obrazovatel'noj organizacii goda, predshestvuyushchego otchetnomu, obuchavshihsya po ochnoj forme obucheniya po programmam bakalavriata, programmam specialiteta, programmam ordinatury/internatury i poluchavshih obrazovanie dannogo urovnya vpervye (pervoe vysshee obrazovanie), vne zavisimosti ot osnovy obucheniya, za isklyucheniem prodolzhivshih obuchenie i (ili) yavlyayushchihsya inostrannymi grazhdanami, vyrazhennoe v procentah	Отношение численности трудоустроившихся в течение календарного года, следующего за годом выпуска, выпускников образовательной организации высшего образования, к общей численности выпускников образовательной организации года, предшествующего отчетному, обучавшихся по очной форме обучения по программам бакалавриата, программам специалитета, программам ординатуры/интернатуры и получавших образование данного уровня впервые (первое высшее образование), вне зависимости от основы обучения, за исключением продолживших обучение и (или) являющихся иностранными гражданами, выраженное в процентах	процент		string
e8	Otnoshenie privedennoj k chislu stavok chislennosti rabotnikov PPS, imeyushchih uchenuyu stepen' doktora nauk ili kandidata nauk, k chislennosti studentov, obuchayushchihsya po programmam bakalavriata, specialiteta i magistratury	Отношение приведенной к числу ставок численности работников ППС, имеющих ученую степень доктора наук или кандидата наук, к численности студентов, обучающихся по программам бакалавриата, специалитета и магистратуры			numeric
ege_budg	Srednij ball EGE studentov, prinyatyh po rezul'tatam EGE na obuchenie po ochnoj forme po programmam bakalavriata i specialiteta za schet sredstv sootvetstvuyushchih byudzhetov byudzhetnoj sistemy RF	Средний балл ЕГЭ студентов, принятых по результатам ЕГЭ на обучение по очной форме по программам бакалавриата и специалитета за счет средств соответствующих бюджетов бюджетной системы РФ	балл		numeric
wos	CHislo publikacij organizacii, indeksiruemyh v informacionno-analiticheskoj sisteme nauchnogo citirovaniya Web of Science, v raschete na 100 NPR	Число публикаций организации, индексируемых в информационно-аналитической системе научного цитирования Web of Science, в расчете на 100 НПР	единица		numeric
scopus	CHislo publikacij organizacii, indeksiruemyh v informacionno-analiticheskoj sisteme nauchnogo citirovaniya Scopus, v raschete na 100 NPR	Число публикаций организации, индексируемых в информационно-аналитической системе научного цитирования Scopus, в расчете на 100 НПР	единица		numeric
rsci	CHislo publikacij organizacii, indeksiruemyh v informacionno-analiticheskoj sisteme nauchnogo citirovaniya RINC, v raschete na 100 NPR	Число публикаций организации, индексируемых в информационно-аналитической системе научного цитирования РИНЦ, в расчете на 100 НПР	единица		numeric
rnd	"Obshchij ob""em nauchno-issledovatel'skih i opytno-konstruktorskih rabot"	Общий объем научно-исследовательских и опытно-конструкторских работ	тысяча рублей		numeric
total_income	Dohody vuza iz vsekh istochnikov	Доходы вуза из всех источников	тысяча рублей		numeric
square	Obshchaya ploshchad' uchebno-laboratornyh pomeshchenij	Общая площадь учебно-лабораторных помещений	квадратный метр		numeric
phd_share	"Udel'nyj ves chislennosti obuchayushchihsya (privedennogo kontingenta) podgotovki nauchno-pedagogicheskih kadrov v aspiranture (ad""yunkture), ordinatury, assistentury-stazhirovki v obshchej chislennosti privedennogo kontingenta obuchayushchihsya po osnovnym obrazovatel'nym programmam vysshego obrazovaniya"	Удельный вес численности обучающихся (приведенного контингента) подготовки научно-педагогических кадров в аспирантуре (адъюнктуре), ординатуры, ассистентуры-стажировки в общей численности приведенного контингента обучающихся по основным образовательным программам высшего образования	процент		numeric
pps	Obshchaya chislennost' PPS (bez vneshnih sovmestitelej i rabotayushchih po dogovoram grazhdansko-pravovogo haraktera (GPH))	Общая численность ППС (без внешних совместителей и работающих по договорам гражданско-правового характера (ГПХ))	человек		numeric
rnd_private	Dohody ot NIOKR (za isklyucheniem sredstv byudzhetov byudzhetnoj sistemy Rossijskoj Federacii, gosudarstvennyh fondov podderzhki nauki)	Доходы от НИОКР (за исключением средств бюджетов бюджетной системы Российской Федерации, государственных фондов поддержки науки)	тысяча рублей		numeric
pk	Obshchaya chislennost' studentov (privedennyj kontingent)	Общая численность студентов (приведенный контингент)	человек		numeric
